fish,date_end,notes,trial,tank
k64,8/14/13,x,5,4
k92,8/14/13,x,5,4
j39,8/14/13,lost tag,5,4
k23,8/14/13,x,5,4
k53,8/14/13,x,5,4
l13,8/14/13,x,5,4
k2,8/14/13,x,5,4
h96,8/14/13,x,5,4
k73,8/14/13,x,5,4
j48,8/14/13,x,5,4
k12,8/14/13,x,5,4
l12,8/14/13,x,5,4
h80,8/14/13,x,5,4
j86,8/14/13,x,5,4
k98,8/14/13,x,5,4
h89,8/14/13,x,5,4
h95,8/14/13,x,5,4
l10,8/14/13,x,5,4
k59,8/14/13,x,5,4
j88,8/14/13,x,5,4
h98,8/14/13,lost tag,5,4
k50,8/14/13,x,5,4
k54,8/23/13,x,6,3
k66,8/23/13,x,6,3
h93,8/23/13,x,6,3
j54,8/23/13,x,6,3
j00,8/23/13,x,6,3
j25,8/23/13,x,6,3
k24,8/23/13,x,6,3
j98,8/23/13,x,6,3
k60,8/23/13,x,6,3
j43,8/23/13,x,6,3
k89,8/23/13,x,6,3
j13,8/23/13,x,6,3
j65,8/23/13,x,6,3
j64,8/23/13,x,6,3
k36,8/23/13,x,6,3
k40,8/23/13,x,6,3
l04,8/23/13,x,6,3
k45,8/23/13,x,6,3
h90,8/23/13,x,6,3
k52,8/23/13,x,6,3
l00,8/23/13,x,6,3
j55,8/23/13,x,6,3
h87,8/23/13,x,6,3
j31,8/23/13,x,6,3
j70,8/23/13,x,6,4
l06,8/23/13,x,6,4
j94,8/23/13,x,6,4
k99,8/23/13,x,6,4
j70,8/23/13,x,6,4
j22,8/23/13,x,6,4
j16,8/23/13,x,6,4
j20,8/23/13,x,6,4
k96,8/23/13,x,6,4
k06,8/23/13,x,6,4
k63,8/23/13,x,6,4
j06,8/23/13,two tags - k10,6,4
k00,8/23/13,x,6,4
j74,8/23/13,x,6,4
j26,8/23/13,x,6,4
k58,8/23/13,x,6,4
j85,8/23/13,x,6,4
j28,8/23/13,x,6,4
j32,8/23/13,x,6,4
l08,8/23/13,x,6,4
k56,8/23/13,x,6,4
j50,8/23/13,x,6,4
k38,8/23/13,x,6,4
k18,8/23/13,x,6,4
h91,8/23/13,x,6,4
j45,9/19/13,x,8,3
h96,9/19/13,x,8,3
k89,9/19/13,x,8,3
j05,9/19/13,x,8,3
j18,9/19/13,x,8,3
k70,9/19/13,missing?,8,3
j13,9/19/13,missing?,8,3
h90,9/19/13,missing?,8,3
k54,9/19/13,x,8,3
j54,9/19/13,x,8,3
k60,9/19/13,x,8,3
k44,9/19/13,x,8,3
h93,9/19/13,x,8,3
j00,9/19/13,x,8,3
l00,9/19/13,x,8,3
k52,9/19/13,x,8,3
k62,9/19/13,x,8,3
k94,9/19/13,x,8,3
j12,9/19/13,x,8,3
j08,9/19/13,x,8,3
k84,9/19/13,x,8,3
k92,9/19/13,x,8,3
j64,9/19/13,x,8,3
k06,9/19/13,x,8,3
k56,9/19/13,x,8,3
k78,9/19/13,x,8,3
j05,9/19/13,x,8,3
k12,9/19/13,x,8,3
k24,9/19/13,x,8,4
k34,9/19/13,x,8,4
j72,9/19/13,x,8,4
j86,9/19/13,x,8,4
k49,9/19/13,x,8,4
k50,9/19/13,x,8,4
k18,9/19/13,x,8,4
k45,9/19/13,x,8,4
j85,9/19/13,x,8,4
j03,9/19/13,x,8,4
j56,9/19/13,x,8,4
j73,9/19/13,x,8,4
l16,9/19/13,x,8,4
k80,9/19/13,x,8,4
k75,9/19/13,x,8,4
j94,9/19/13,x,8,4
j43,9/19/13,x,8,4
l04,9/19/13,x,8,4
j22,9/19/13,x,8,4
j79,9/19/13,x,8,4
j48,9/19/13,x,8,4
k90,9/19/13,x,8,4
k70,9/19/13,x,8,4
j50,9/19/13,x,8,4
k60,9/19/13,x,8,4
k98,9/12/13,x,7,3
j16,9/12/13,x,7,3
k35,9/12/13,x,7,3
j66,9/12/13,x,7,3
k32,9/12/13,x,7,3
j55,9/12/13,x,7,3
l06,9/12/13,x,7,3
j09,9/12/13,x,7,3
h85,9/12/13,x,7,3
k49,9/12/13,x,7,3
l15,9/12/13,x,7,3
h95,9/12/13,x,7,3
k64,9/12/13,x,7,3
h92,9/12/13,x,7,3
j65,9/12/13,x,7,3
l02,9/12/13,x,7,3
l10,9/12/13,x,7,3
k74,9/12/13,x,7,3
j20,9/12/13,x,7,3
h80,9/12/13,x,7,3
h91,9/12/13,x,7,3
k58,9/12/13,x,7,3
l12,9/12/13,x,7,3
l13,9/12/13,x,7,3
h89,9/12/13,x,7,4
j15,9/12/13,x,7,4
j25,9/12/13,x,7,4
k00,9/12/13,x,7,4
j30,9/12/13,x,7,4
k95,9/12/13,x,7,4
k99,9/12/13,x,7,4
k96,9/12/13,x,7,4
k59,9/12/13,x,7,4
j32,9/12/13,x,7,4
k66,9/12/13,x,7,4
j70,9/12/13,x,7,4
j19,9/12/13,x,7,4
k04,9/12/13,x,7,4
k69,9/12/13,x,7,4
k53,9/12/13,x,7,4
k73,9/12/13,x,7,4
h87,9/12/13,x,7,4
k02,9/12/13,x,7,4
j98,9/12/13,x,7,4
j28,9/12/13,x,7,4
j06,9/12/13,x,7,4
l08,9/12/13,x,7,4
j31,9/12/13,x,7,4
k23,9/12/13,x,7,4
j32,10/3/13,x,9,3
j25,10/3/13,x,9,3
j65,10/3/13,x,9,3
j12,10/3/13,x,9,3
j03,10/3/13,x,9,3
h93,10/3/13,x,9,3
h85,10/3/13,x,9,3
k12,10/3/13,x,9,3
k35,10/3/13,x,9,3
l00,10/3/13,x,9,3
k73,10/3/13,x,9,3
k49,10/3/13,x,9,3
k50,10/3/13,x,9,3
l15,10/3/13,x,9,3
k78,10/3/13,x,9,3
j64,10/3/13,x,9,3
k30,10/3/13,x,9,3
h80,10/3/13,x,9,3
k44,10/3/13,x,9,3
j86,10/3/13,x,9,3
j72,10/3/13,x,9,3
j00,10/3/13,x,9,3
l06,10/3/13,x,9,3
k69,10/3/13,x,9,3
k48,10/3/13,x,9,3
j54,10/3/13,x,9,4
k54,10/3/13,x,9,4
k95,10/3/13,x,9,4
j31,10/3/13,x,9,4
k06,10/3/13,x,9,4
k04,10/3/13,x,9,4
k62,10/3/13,x,9,4
l12,10/3/13,x,9,4
k64,10/3/13,x,9,4
k00,10/3/13,x,9,4
j48,10/3/13,x,9,4
j28,10/3/13,x,9,4
l02,10/3/13,x,9,4
k75,10/3/13,x,9,4
k32,10/3/13,x,9,4
k66,10/3/13,x,9,4
k70,10/3/13,x,9,4
j09,10/3/13,x,9,4
k02,10/3/13,x,9,4
j22,10/3/13,x,9,4
j30,10/3/13,x,9,4
j05,10/3/13,x,9,4
j20,10/3/13,x,9,4
k53,10/3/13,x,9,4
j55,10/3/13,x,9,4
